No.,Abbreviation,Name,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8
1,Ala(A),Alanine,-1.552,-0.791,-0.627,0.237,-0.461,-2.229,0.283,1.221
2,Arg(R),Arginine,-0.059,0.731,-0.013,-0.096,-0.253,0.3,1.256,0.854
3,Asn(N),Asparagine,-0.888,-0.057,-0.651,-0.214,0.917,0.164,-0.14,-0.166
4,Asp(D),Aspartic acid,-0.907,-0.054,-0.781,-0.248,1.12,0.101,-0.245,-0.075
5,Cys(C),Cysteine,-1.276,-0.401,0.134,0.859,-0.196,-0.72,0.639,-0.857
6,Gln(Q),Glutamine,-0.622,0.228,-0.193,-0.105,0.418,0.474,0.172,0.408
7,Glu(E),Glutamic acid,-0.629,0.39,-0.38,-0.366,0.635,0.514,0.175,0.367
8,Gly(G),Glycine,-1.844,-0.018,-0.184,0.573,-0.728,-3.317,0.166,2.522
9,His(H),Histidine,-0.225,0.361,0.079,-1.037,0.568,0.273,1.208,-0.001
10,Ile(I),Isoleucine,-0.785,-1.01,-0.349,-0.097,-0.402,1.091,-0.139,-0.764
11,Leu(L),Leucine,-0.826,-0.379,0.038,-0.059,-0.625,1.025,-0.229,-0.129
12,Lys(K),Lysine,-0.504,0.245,0.297,-0.065,-0.387,1.011,0.525,0.553
13,Met(M),Methionine,-0.693,0.498,0.658,0.457,-0.231,1.064,0.248,-0.778
14,Phe(P),Phenylalanine,-0.019,0.024,1.08,-0.22,-0.937,0.57,-0.357,0.278
15,Pro(P),Proline,-1.049,-0.407,-0.067,-0.066,-0.813,-0.89,0.021,-0.894
16,Ser(S),Serine,-1.343,-0.311,-0.917,-0.049,0.549,-1.533,0.166,0.28
17,Thr(T),Threonine,-1.061,-0.928,-0.911,-0.063,0.538,-0.775,-0.147,-0.717
18,Trp(W),Tryptophan,0.853,0.039,0.26,-1.163,0.16,-0.202,1.01,0.195
